"Year,Month,Consumption,Fuel_Type,Date,GDP_Growth_Rate,Zimbabwe_Inflation,Trade_Balance_USD,Trade_Balance_Percent_GDP,Month_Num,Quarter,Year_Fraction,Consumption_Normalized,Consumption_Lag_1,Consumption_Lag_2,Consumption_Lag_3,Consumption_Lag_12,Consumption_MA_3,Consumption_MA_12"
"2010,February,15178180.757499993,Diesel,2010-02-01,21.45,3.0,-2.87,-23.84,2,1,2010.0833333333333,0.0,26114811.0,46483372.0,39812598.0,29315952.0,29258787.919166666,28799747.689375"
"2010,March,26075411.0,Petrol,2010-03-01,21.45,3.0,-2.87,-23.84,3,1,2010.1666666666667,0.3066977766970534,13839991.0,16321372.0,20675088.0,6308556.5,18745591.333333332,16982179.166666668"
"2010,March,58005144.0,Diesel,2010-03-01,21.45,3.0,-2.87,-23.84,3,1,2010.1666666666667,0.39669352601421304,15178180.757499993,26114811.0,46483372.0,15178180.757499993,33099378.58583333,32368661.292916667"
"2010,April,20225198.0,Petrol,2010-04-01,21.45,3.0,-2.87,-23.84,4,2,2010.25,0.215927273969662,26075411.0,13839991.0,16321372.0,14131010.0,20046866.666666668,17490028.166666668"
"2010,April,40055436.0,Diesel,2010-04-01,21.45,3.0,-2.87,-23.84,4,2,2010.25,0.23043067620329405,58005144.0,15178180.757499993,26114811.0,24342632.0,37746253.58583333,33678061.62625"
"2010,May,23919234.0,Petrol,2010-05-01,21.45,3.0,-2.87,-23.84,5,2,2010.3333333333333,0.2732430511581305,20225198.0,26075411.0,13839991.0,15628932.0,23406614.333333332,18180886.666666668"
"2010,May,48788524.0,Diesel,2010-05-01,21.45,3.0,-2.87,-23.84,5,2,2010.3333333333333,0.31132269397481094,40055436.0,58005144.0,15178180.757499993,15178180.757499993,48949701.333333336,36478923.563125"
"2010,June,36721262.0,Diesel,2010-06-01,21.45,3.0,-2.87,-23.84,6,2,2010.4166666666667,0.19954720606520204,48788524.0,40055436.0,58005144.0,25202424.0,41855074.0,37438826.72979166"
"2010,June,16680892.0,Petrol,2010-06-01,21.45,3.0,-2.87,-23.84,6,2,2010.4166666666667,0.16093467157386726,23919234.0,20225198.0,26075411.0,6934250.0,20275108.0,18993106.833333332"
"2010,July,21278300.0,Petrol,2010-07-01,21.45,3.0,-2.87,-23.84,7,3,2010.5,0.23226695219389443,16680892.0,23919234.0,20225198.0,20482358.0,20626142.0,19059435.333333332"
"2010,July,40372437.0,Diesel,2010-07-01,21.45,3.0,-2.87,-23.84,7,3,2010.5,0.23336696294695086,36721262.0,48788524.0,40055436.0,28488447.0,41960741.0,38429159.22979166"
"2010,August,24474203.0,Petrol,2010-08-01,21.45,3.0,-2.87,-23.84,8,3,2010.5833333333333,0.2818538171470129,21278300.0,16680892.0,23919234.0,9371738.0,20811131.666666668,20317974.083333332"
"2010,August,32170559.0,Diesel,2010-08-01,21.45,3.0,-2.87,-23.84,8,3,2010.5833333333333,0.15739538669170033,40372437.0,36721262.0,48788524.0,31117450.0,36421419.333333336,38516918.313125"
"2010,September,18825474.0,Petrol,2010-09-01,21.45,3.0,-2.87,-23.84,9,3,2010.6666666666667,0.1942094918718828,24474203.0,21278300.0,16680892.0,14193655.0,21525992.333333332,20703959.0"
"2010,September,32706917.0,Diesel,2010-09-01,21.45,3.0,-2.87,-23.84,9,3,2010.6666666666667,0.16236351261324095,32170559.0,40372437.0,36721262.0,26731974.0,35083304.333333336,39014830.22979166"
"2010,October,6308556.5,Petrol,2010-10-01,21.45,3.0,-2.87,-23.84,10,4,2010.75,0.0,18825474.0,24474203.0,21278300.0,11352203.0,16536077.833333334,20283655.125"
"2010,October,36532702.0,Diesel,2010-10-01,21.45,3.0,-2.87,-23.84,10,4,2010."
